name,lat,lon
3058,-16.099467249885333,26.749588701193883
3059,-16.009099776260186,26.749567624316263
3060,-15.91873154340478,26.74954668182849
3061,-15.828362555144516,26.749525873447727
3062,-15.73799281531246,26.749505198893218
3063,-15.647622327749326,26.74948465788633
3064,-15.557251096303414,26.749464250150503
3065,-15.466879124830593,26.749443975411264
3066,-15.37650641719425,26.74942383339621
3067,-15.286132977265256,26.749403823835003
3068,-15.195758808921942,26.749383946459343
3069,-15.10538391605,26.749364201002983
3070,-15.015008302542542,26.74934458720171
3071,-14.924631972299965,26.74932510479332
3072,-14.834254929229967,26.74930575351765
3073,-14.743877177247516,26.749286533116507
3074,-14.653498720274746,26.74926744333374
3075,-14.563119562240988,26.74924848391516
3076,-14.472739707082706,26.74922965460856
3077,-14.38235915874344,26.749210955163708
3078,-14.291977921173777,26.74919238533234
3079,-14.201595998331332,26.749173944868144
3080,-14.111213394180686,26.749155633526748
3081,-14.020830112693329,26.74913745106573
3082,-13.930446157847667,26.749119397244613
3083,-13.840061533628942,26.7491014718248
3084,-13.749676244029212,26.749083674569643
3085,-13.659290293047317,26.74906600524439
3086,-13.568903684688795,26.749048463616194
3087,-13.4785164229659,26.749031049454096
3088,-13.388128511897529,26.74901376252901
3089,-13.29773995550918,26.74899660261376
3090,-13.207350757832923,26.74897956948299
3091,-13.116960922907351,26.74896266291325
3092,-13.02657045477755,26.748945882682907
3093,-12.936179357495044,26.74892922857221
3094,-12.845787635117768,26.74891270036322
3095,-12.75539529171002,26.74889629783984
3096,-12.665002331342397,26.74888002078781
3097,-12.574608758091829,26.74886386899466
3098,-12.484214576041424,26.74884784224976
3099,-12.393819789280531,26.74883194034426
3100,-12.303424401904632,26.748816163071137
3101,-12.21302841801535,26.74880051022512
3102,-12.122631841720352,26.748784981602764
3103,-12.032234677133362,26.748769577002367
3104,-11.941836928374086,26.74875429622401
3105,-17.994667943551878,26.8444768623981
3106,-17.904317261740633,26.844452897798394
3107,-17.813965742300667,26.844429074024717
3108,-17.723613388887653,26.844405390747617
3109,-17.633260205165733,26.844381847640005
3110,-17.542906194807454,26.84435844437708
3111,-17.45255136149378,26.844335180636385
3112,-17.362195708914005,26.84431205609773
3113,-17.271839240765768,26.84428907044321
3114,-17.181481960754972,26.844266223357213
3115,-17.091123872595748,26.84424351452637
3116,-17.00076498001046,26.844220943639577
3117,-16.910405286729603,26.84419851038797
3118,-16.82004479649185,26.844176214464905
3119,-16.72968351304393,26.844154055565973
3120,-16.63932144014066,26.844132033388952
3121,-16.54895858154482,26.844110147633845
3122,-16.458594941027243,26.844088398002818
3123,-16.368230522366638,26.84406678420023
3124,-16.277865329349666,26.8440453059326
3125,-16.187499365770822,26.844023962908608
3126,-16.097132635432455,26.84400275483908
3127,-16.006765142144683,26.84398168143697
3128,-15.91639688972538,26.84396074241738
3129,-15.826027882000163,26.843939937497503
3130,-15.735658122802276,26.843919266396668
3131,-15.645287615972627,26.84389872883628
3132,-15.554916365359723,26.84387832453984
3133,-15.464544374819624,26.84385805323292
3134,-15.374171648215926,26.84383791464317
3135,-15.28379818941968,26.84381790850032
3136,-15.193424002309388,26.843798034536103
3137,-15.103049090770966,26.84377829248434
3138,-15.012673458697696,26.843758682080864
3139,-14.92229710999017,26.843739203063528
3140,-14.831920048556288,26.8437198551722
3141,-14.74154227831117,26.843700638148785
3142,-14.651163803177171,26.84368155173713
3143,-14.560784627083793,26.84366259568313
3144,-14.470404753967673,26.843643769734623
3145,-14.38002418777254,26.843625073641427
3146,-14.289642932449176,26.84360650715532
